Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,2320.000000,2320.000000,2273.050049,2273.050049,2273.050049,272319
2020-04-15,2161.000000,2320.000000,2159.399902,2180.899902,2180.899902,634856
2020-04-16,2151.000000,2210.000000,2104.899902,2137.850098,2137.850098,393226
2020-04-17,2214.000000,2230.000000,2200.000000,2212.100098,2212.100098,292020
2020-04-20,2229.949951,2285.000000,2150.050049,2256.250000,2256.250000,274755
2020-04-21,2200.000000,2288.500000,2199.449951,2238.199951,2238.199951,205854
2020-04-22,2235.000000,2320.000000,2225.000000,2290.050049,2290.050049,231894
2020-04-23,2290.050049,2350.000000,2290.050049,2303.500000,2303.500000,182395
2020-04-24,2299.449951,2346.500000,2269.449951,2310.500000,2310.500000,586416
2020-04-27,2300.000000,2350.000000,2274.000000,2323.949951,2323.949951,198321
2020-04-28,2339.000000,2340.000000,2285.000000,2305.800049,2305.800049,858549
2020-04-29,2310.000000,2350.000000,2305.800049,2344.350098,2344.350098,120879
2020-04-30,2349.000000,2389.750000,2325.000000,2383.649902,2383.649902,619337
2020-05-04,2310.199951,2345.000000,2269.949951,2281.300049,2281.300049,234634
2020-05-05,2320.000000,2329.949951,2185.300049,2198.949951,2198.949951,183052
2020-05-06,2200.000000,2249.000000,2126.550049,2175.600098,2175.600098,292523
2020-05-07,2180.000000,2210.300049,2144.000000,2182.100098,2182.100098,287428
2020-05-08,2190.000000,2284.000000,2185.000000,2255.000000,2255.000000,247823
2020-05-11,2280.000000,2358.000000,2270.000000,2313.550049,2313.550049,279514
2020-05-12,2320.550049,2347.000000,2286.899902,2303.350098,2303.350098,277597
2020-05-13,2353.000000,2379.949951,2305.000000,2352.149902,2352.149902,373230
2020-05-14,2344.350098,2358.000000,2304.000000,2324.399902,2324.399902,344409
2020-05-15,2320.000000,2340.000000,2290.250000,2333.800049,2333.800049,181711
2020-05-18,2333.000000,2370.800049,2275.000000,2306.550049,2306.550049,293737
2020-05-19,2341.949951,2355.600098,2306.000000,2337.500000,2337.500000,254048
2020-05-20,2335.000000,2454.350098,2318.000000,2454.350098,2454.350098,374829
2020-05-21,2452.000000,2519.949951,2375.000000,2470.250000,2470.250000,359114
2020-05-22,2484.800049,2518.000000,2381.500000,2398.300049,2398.300049,388436
2020-05-26,2339.000000,2340.000000,2278.399902,2283.250000,2283.250000,773046
2020-05-27,2222.199951,2275.000000,2176.000000,2200.199951,2200.199951,751860
2020-05-28,2210.000000,2310.199951,2205.000000,2308.449951,2308.449951,927241
2020-05-29,2330.000000,2358.000000,2229.000000,2269.350098,2269.350098,3799418
